country,year,age,sex,qx,,,,,
Australia,1993,74,female,0.02576,,,,,
Australia,1993,75,female,0.0282,,,,,
Australia,1993,76,female,0.03114,,,,,
Australia,1993,77,female,0.03393,,,,,
Australia,1993,78,female,0.04072,,,,,
Australia,1993,79,female,0.04536,,,,,
Australia,1993,80,female,0.04877,,,,,
Australia,1993,81,female,0.05513,,,,,
Australia,1993,82,female,0.06192,,,,,
Australia,1993,83,female,0.07097,,,,,
Australia,1993,84,female,0.0789,,,,,
Australia,1993,85,female,0.0865,,,,,
Australia,1993,86,female,0.09497,,,,,
Australia,1993,87,female,0.10903,,,,,
Australia,1993,88,female,0.11969,,,,,
Australia,1993,89,female,0.13285,,,,,
Australia,1993,90,female,0.14426,,,,,
Australia,1993,91,female,0.15373,,,,,
Australia,1993,92,female,0.17817,,,,,
Australia,1993,93,female,0.20276,,,,,
Australia,1993,94,female,0.20358,,,,,
Australia,1993,95,female,0.22831,,,,,
Australia,1993,96,female,0.2474,,,,,
Australia,1993,97,female,0.26711,,,,,
Australia,1993,98,female,0.28731,,,,,
Australia,1993,99,female,0.30787,,,,,
Australia,1993,100,female,0.32862,,,,,
Australia,1993,101,female,0.34941,,,,,
Australia,1993,102,female,0.37007,,,,,
Australia,1993,103,female,0.39045,,,,,
Australia,1993,104,female,0.4104,,,,,
Australia,1993,105,female,0.42979,,,,,
Australia,1993,106,female,0.44849,,,,,
Australia,1993,107,female,0.4664,,,,,
Australia,1993,108,female,0.48344,,,,,
Australia,1993,109,female,0.49955,,,,,
Australia,1993,110,female,1,,,,,
Australia,1994,0,female,0.00533,,,,,
Australia,1994,1,female,0.00061,,,,,
Australia,1994,2,female,0.00032,,,,,
Australia,1994,3,female,0.00017,,,,,
Australia,1994,4,female,0.0002,,,,,
Australia,1994,5,female,0.00012,,,,,
Australia,1994,6,female,0.00016,,,,,
Australia,1994,7,female,0.00015,,,,,
Australia,1994,8,female,0.00011,,,,,
Australia,1994,9,female,0.0001,,,,,
Australia,1994,10,female,0.00018,,,,,
Australia,1994,11,female,0.00011,,,,,
Australia,1994,12,female,0.00017,,,,,
Australia,1994,13,female,0.00012,,,,,
Australia,1994,14,female,0.00023,,,,,
Australia,1994,15,female,0.00018,,,,,
Australia,1994,16,female,0.00024,,,,,
Australia,1994,17,female,0.00036,,,,,
Australia,1994,18,female,0.0004,,,,,
Australia,1994,19,female,0.0003,,,,,
Australia,1994,20,female,0.00037,,,,,
Australia,1994,21,female,0.00038,,,,,
Australia,1994,22,female,0.00038,,,,,
Australia,1994,23,female,0.00034,,,,,
Australia,1994,24,female,0.0004,,,,,
Australia,1994,25,female,0.00047,,,,,
Australia,1994,26,female,0.00038,,,,,
Australia,1994,27,female,0.00036,,,,,
Australia,1994,28,female,0.00041,,,,,
Australia,1994,29,female,0.00041,,,,,
Australia,1994,30,female,0.00046,,,,,
Australia,1994,31,female,0.00052,,,,,
Australia,1994,32,female,0.00044,,,,,
Australia,1994,33,female,0.00051,,,,,
Australia,1994,34,female,0.00049,,,,,
Australia,1994,35,female,0.00073,,,,,
Australia,1994,36,female,0.0007,,,,,
Australia,1994,37,female,0.00073,,,,,
Australia,1994,38,female,0.0008,,,,,
Australia,1994,39,female,0.00093,,,,,
Australia,1994,40,female,0.00085,,,,,
Australia,1994,41,female,0.00108,,,,,
Australia,1994,42,female,0.00112,,,,,
Australia,1994,43,female,0.00139,,,,,
Australia,1994,44,female,0.00132,,,,,
Australia,1994,45,female,0.00151,,,,,
Australia,1994,46,female,0.00148,,,,,
Australia,1994,47,female,0.00181,,,,,
Australia,1994,48,female,0.00184,,,,,
Australia,1994,49,female,0.00237,,,,,
Australia,1994,50,female,0.00229,,,,,
Australia,1994,51,female,0.00263,,,,,
Australia,1994,52,female,0.00306,,,,,
Australia,1994,53,female,0.00304,,,,,
Australia,1994,54,female,0.00311,,,,,
Australia,1994,55,female,0.00397,,,,,
Australia,1994,56,female,0.00416,,,,,
Australia,1994,57,female,0.00486,,,,,
Australia,1994,58,female,0.00483,,,,,
Australia,1994,59,female,0.00553,,,,,
Australia,1994,60,female,0.00599,,,,,
Australia,1994,61,female,0.0065,,,,,
Australia,1994,62,female,0.00668,,,,,
Australia,1994,63,female,0.00846,,,,,
Australia,1994,64,female,0.00871,,,,,
Australia,1994,65,female,0.00965,,,,,
Australia,1994,66,female,0.01105,,,,,
Australia,1994,67,female,0.01205,,,,,
Australia,1994,68,female,0.01393,,,,,
Australia,1994,69,female,0.01547,,,,,
Australia,1994,70,female,0.01603,,,,,
Australia,1994,71,female,0.01725,,,,,
Australia,1994,72,female,0.02033,,,,,
Australia,1994,73,female,0.02298,,,,,
Australia,1994,74,female,0.02655,,,,,
Australia,1994,75,female,0.0286,,,,,
Australia,1994,76,female,0.03251,,,,,
Australia,1994,77,female,0.03544,,,,,
Australia,1994,78,female,0.03909,,,,,
